,username,oneStarBadge,twoStarBadge,threeStarBadge,fourStarBadge,fiveStarBadge,basic_Certificate,intermediate_Certificate,adavanced_Certificate
171,22951A0584,0,0,1,1,2,1,0,0
172,22951A0582,0,0,0,0,0,0,0,0
173,22951A0589,0,0,0,0,0,0,0,0
174,22951A6696,0,0,1,1,0,1,0,0
175,22951A6661,2,1,0,1,0,0,0,0
176,22951A0440,0,0,0,0,1,2,0,1
177,22951A6727,0,0,1,0,0,3,0,0
178,22951A67G3,0,0,0,0,0,0,0,0
179,23955A6716,0,0,0,0,0,0,0,0
180,22951A67J4,0,0,0,0,0,0,0,0
181,23955A0410,0,0,0,0,0,0,0,0
182,22951A0494,1,0,0,0,1,2,0,0
183,22951A0598,0,0,0,0,0,0,0,0
184,22951A33B7,0,0,1,1,0,4,0,0
185,22951A04A4,0,0,0,0,0,0,0,0
186,22951A66A8,0,1,0,1,0,0,0,0
187,22951A6654,0,1,0,1,1,0,0,0
188,22951A0408,2,1,0,1,1,2,0,0
189,22951A6655,0,1,1,1,0,3,0,0
190,22951A6782,0,0,0,0,0,0,0,0
191,22951A67H0,0,0,0,1,1,0,0,0
192,22951A6688,0,0,0,0,0,0,0,0
193,22951A33B8,2,1,0,0,1,4,0,0
194,22951A6754,0,0,0,1,0,1,0,0
195,22951A12C5,0,0,0,0,0,0,0,0
196,22951A6609,0,1,0,1,0,0,0,0
197,22951A67B9,0,0,0,0,0,0,0,0
198,22951A0447,0,1,0,0,1,1,0,0
199,22951A66G6,0,0,0,0,0,0,0,0
200,22951A0438,0,0,0,0,0,0,0,0
201,22951A05K4,1,0,0,1,1,0,0,0
202,22951A6612,0,1,1,0,0,0,0,0
203,22951A33B1,0,0,0,0,2,1,0,0
204,22951A1235,0,0,0,0,0,0,0,0
205,22951A6724,0,0,0,0,0,0,0,0
206,22951A6790,0,2,0,1,0,0,0,0
207,22951A0497,0,0,1,0,1,1,0,0
208,22951A1208,0,0,0,0,0,0,0,0
209,22951A0412,1,1,0,0,2,1,0,0
210,22951A05Q2,1,2,0,0,0,1,0,0
211,22951A0495,0,0,1,0,0,0,0,0
212,22951A05B8,0,1,0,0,0,4,0,0
213,22951A6211,2,0,0,1,0,1,0,0
214,22951A66B7,0,0,0,0,0,0,0,0
215,22951A6257,0,0,0,0,1,1,0,0
216,22951A6215,0,0,0,1,0,0,0,0
217,22951A66B4,0,0,0,0,0,0,0,0
218,22951A04K8,0,1,0,0,0,1,0,0
219,22951A0587,0,2,1,0,2,2,0,0
220,22951A05C6,0,0,1,0,1,1,0,0
221,22951A66F2,0,0,0,0,0,0,0,0
222,22951A6642,0,0,0,0,0,0,0,0
223,22951A66A4,0,0,1,1,0,1,0,0
224,22951A6671,0,1,0,0,1,1,0,0
225,22951A66E0,0,0,0,0,0,0,0,0
226,22951A6667,1,0,1,0,2,1,0,0
227,22951A05P6,1,0,0,0,1,0,0,0
228,22951A1283,1,0,1,2,0,1,0,0
229,22951A0305,0,0,0,0,0,0,0,0
230,22951A12C0,0,1,1,0,0,1,0,0
231,22951A62B3,0,1,3,0,0,0,0,0
232,22951A67B7,0,0,0,0,0,0,0,0
233,23955A6601,0,1,0,0,1,1,0,0
234,22951A6725,3,0,0,1,0,0,0,0
235,22951A05G9,0,0,0,0,0,0,0,0
236,22951A6693,0,0,0,0,0,0,0,0
237,23955A0415,0,0,0,0,0,0,0,0
238,22951A1277,1,1,0,0,0,1,0,0
239,22951A0475,0,0,0,0,0,0,0,0
240,22951A6699,1,1,0,0,0,0,0,0
241,22951A66B5,0,0,0,0,0,0,0,0
242,22951A04A0,0,0,0,0,0,0,0,0
243,22951A0483,0,0,1,0,0,0,0,0
244,22951A1279,0,0,1,0,0,1,0,0
245,22951A0470,0,0,2,0,0,2,0,0
246,23955A0519,0,1,1,0,1,1,0,0
247,22951A04A8,0,0,1,1,0,4,1,0
248,22951A6707,0,0,0,0,0,0,0,0
249,22951A66G2,0,0,0,0,0,0,0,0
250,22951A6795,0,0,0,0,0,0,0,0
251,22951A12B6,0,0,2,2,0,3,0,0
252,22951A67C2,0,0,3,0,1,0,0,0
253,22951A1239,0,1,0,0,0,0,0,0
254,22951A1282,1,1,0,1,1,3,0,0
255,22951A3312,0,0,0,0,0,0,0,0
256,23955A0224,0,0,1,1,0,0,0,0
257,22951A0519,0,0,0,0,0,0,0,0
258,22951A6702,0,0,0,0,2,2,0,0
259,23955A0421,0,0,0,0,0,0,0,0
260,22951A04J0,0,0,0,0,0,0,0,0
261,23955A0210,0,0,1,0,0,0,0,0
262,22951A04J5,0,0,0,0,1,0,0,0
263,22951A0545,0,0,2,0,2,3,0,0
264,22951A1274,0,0,0,0,0,0,0,0
265,22951A04H6,0,0,0,0,0,0,0,0
266,22951A0469,2,0,1,0,1,1,0,1
267,23955A6704,0,0,0,0,0,0,0,0
268,23955A0526,0,0,0,0,0,0,0,0
269,23955A6702,0,0,0,0,0,0,0,0
270,22951A67B4,1,1,0,0,0,0,0,0
271,22951A0436,0,0,0,0,0,0,0,0
272,22951A6680,0,1,0,1,0,0,0,0
273,23955A6616,1,0,2,0,0,0,0,0
274,22951A05F2,0,0,0,0,1,0,0,0
275,22951A12A0,0,0,1,1,0,2,0,0
276,22951A0425,0,0,0,0,0,0,0,0
277,22951A66K2,0,2,0,1,0,2,0,0
278,22951A6769,0,1,0,0,0,0,0,0
279,22951A05P0,0,0,0,0,0,0,0,0
280,22951A66D0,1,0,2,0,0,3,1,0
281,22951A04E9,0,0,0,0,0,0,0,0
282,22951A04D7,0,0,0,0,0,0,0,0
283,22951A04E8,0,0,0,0,0,0,0,0
284,22951A6639,0,0,0,0,0,0,0,0
285,22951A66D9,0,1,1,0,0,0,0,0
286,22951A66D4,0,0,0,0,0,0,0,0
287,22951A0421,0,0,0,0,0,0,0,0
288,22951A0499,0,0,0,0,0,0,0,0
289,22951A66H2,0,0,0,0,0,0,0,0
290,22951A04B4,0,0,0,1,0,3,0,0
291,22951A0449,0,0,0,0,0,0,0,0
292,22951A62B1,1,0,3,0,0,3,0,0
293,22951A04J9,0,0,0,0,0,0,0,0
294,22951A04E5,0,0,0,0,0,0,0,0
295,22951A0526,0,0,0,0,0,0,0,0
296,22951A6670,0,2,1,0,1,2,0,0
297,22951A1287,0,0,0,0,0,0,0,0
298,22951A0529,0,0,0,0,0,0,0,0
299,22951A66C8,0,0,2,1,0,0,0,0
300,22951A04M1,0,0,0,0,0,0,0,0
301,22951A66A6,0,0,0,0,1,0,0,0
302,23955A0418,0,0,0,0,1,2,0,0
303,22951A0551,0,0,0,0,0,0,0,0
304,22951A67A0,1,0,1,3,0,1,0,0
305,22951A6626,0,0,0,0,0,0,0,0
306,22951A04K0,0,0,0,0,1,1,0,0
307,22951A05M2,2,0,1,1,1,2,0,0
308,23955A1211,2,1,0,0,0,0,0,0
309,22951A1216,1,1,1,1,0,3,0,0
310,22951A66H3,0,0,0,0,0,0,0,0
311,22951A3348,0,0,0,0,0,0,0,0
312,23955A0412,0,0,0,0,0,0,0,0
313,22951A05G0,0,0,0,1,0,0,0,0
314,23955A1213,1,0,1,0,0,1,0,0
315,23955A0502,2,0,0,0,1,0,0,0
316,22951A6636,1,0,1,2,0,1,0,0
317,22951A33B6,1,2,2,1,0,1,0,0
318,22951A04Q3,0,0,0,0,1,0,0,0
319,22951A0404,0,1,1,0,1,1,0,0
320,22951A67E5,0,0,0,0,1,0,0,0
321,22951A0457,0,0,0,0,1,1,0,0
322,22951A67A7,0,0,2,1,1,0,0,0
323,22951A1291,0,1,0,0,0,2,0,0
324,22951A0411,0,1,0,0,1,1,0,0
325,22951A0532,2,0,1,1,0,1,0,0
326,22951A1284,0,0,0,0,0,0,0,0
327,22951A0414,0,0,0,0,0,0,0,0
328,22951A0496,0,0,0,0,0,0,0,0
329,22951A0575,0,0,0,0,0,0,0,0
330,22951A12A1,0,0,0,0,0,0,0,0
331,22951A3358,0,0,1,0,1,0,0,0
332,22951A04C0,0,0,0,0,0,0,0,0
333,22951A6613,2,0,1,0,1,1,0,0
334,22951A0557,0,0,0,0,0,0,0,0
335,22951A05R7,0,1,0,0,0,0,0,0
336,22951A33B0,0,0,0,0,0,0,0,0
337,22951A04D4,0,0,0,0,0,0,0,0
338,22951A1281,0,0,0,0,0,0,0,0
339,22951A0554,1,0,0,0,0,0,0,0
340,22951A0577,0,2,1,0,0,0,0,0
341,22951A0488,0,1,1,0,1,2,0,0
342,22951A0510,0,0,1,0,0,0,0,0
343,22951A6728,0,0,0,0,0,0,0,0
344,22951A3306,0,2,0,0,2,0,0,0
345,22951A0536,0,0,0,0,0,0,0,0
346,23955A0426,0,0,0,0,0,0,0,0
347,23955A0424,0,0,0,0,0,0,0,0
348,22951A0451,0,1,0,1,0,2,0,0
349,22951A1221,0,0,1,1,0,2,0,0
350,22951A05P5,0,0,0,0,0,0,0,0
351,22951A12A2,2,1,1,0,0,4,0,0
352,22951A6732,0,0,1,0,0,0,0,0
353,22951A05M4,0,1,1,1,0,2,0,0
354,22951A0528,0,0,0,1,0,1,0,0
355,22951A6799,0,0,0,0,0,0,0,0
356,22951A05N0,1,0,1,1,0,0,0,0
357,22951A6242,0,0,0,0,0,0,0,0
358,22951A12B0,0,1,1,0,0,1,0,0
359,22951A6649,0,0,0,1,1,0,0,0
360,22951A04A2,0,0,3,1,0,0,0,0
361,22951A1233,1,0,1,0,0,1,0,0
362,22951A05H6,0,2,1,1,0,1,0,0
363,22951A1278,0,0,0,0,0,0,0,0
364,22951A1220,0,0,0,0,0,0,0,0
365,23955A0506,0,0,0,0,1,1,0,0
366,23955A6712,1,0,0,1,0,2,0,0
367,22951A1286,0,0,0,0,0,0,0,0
368,22951A1297,0,0,0,0,0,1,0,0
369,22951A6633,0,0,0,0,0,0,0,0
370,22951A04L3,0,0,0,0,1,0,0,0
371,22951A04D9,0,0,0,0,0,0,0,0
372,22951A12B8,1,0,0,0,0,1,0,0
373,22951A6238,0,0,0,0,0,0,0,0
374,22951A6770,0,0,0,0,0,0,0,0
375,22951A05J4,0,0,0,1,1,2,0,0
376,22951A6751,0,0,1,0,0,0,0,0
377,22951A6665,0,0,0,0,2,2,0,0
378,22951A1269,0,0,0,0,0,0,0,0
379,22951A6620,0,0,0,0,0,0,0,0
380,22951A1219,1,0,0,1,1,2,0,0
381,22951A3382,0,0,0,0,0,0,0,0
382,22951A66F3,0,0,0,0,0,0,0,0
383,22951A3389,0,0,0,0,0,0,0,0
384,22951A66E5,0,0,0,0,0,0,0,0
385,22951A66G0,0,0,0,0,0,0,0,0
386,23955A0507,0,0,0,0,0,0,0,0
387,22951A0585,0,0,0,1,0,0,0,0
388,22951A6710,0,0,0,0,0,0,0,0
389,22951A0467,0,1,0,0,1,2,0,0
390,22951A6610,0,1,1,0,0,1,0,0
391,22951A66J1,2,1,0,0,1,0,0,0
392,22951A12A6,0,1,0,0,0,0,0,0
393,23955A0528,0,0,0,0,0,0,0,0
394,22951A66G7,1,1,0,2,0,1,0,0
395,22951A6263,0,0,0,0,0,0,0,0
396,22951A1228,2,0,1,0,0,2,0,0
397,22951A05F6,0,0,0,0,0,0,0,0
398,23955A0501,0,1,0,0,0,0,0,0
399,23955A0521,0,0,0,0,0,0,0,0
400,23955A3312,0,0,0,0,0,0,0,0
401,22951A04A7,0,0,0,0,0,0,0,0
402,22951A66F4,0,0,2,0,0,0,0,0
403,22951A3395,1,0,1,0,0,3,0,0
404,23955A6201,0,0,0,0,0,0,0,0
405,22951A1210,0,0,0,0,0,0,0,0
406,22951A67C3,0,0,1,0,1,1,1,0
407,22951A0403,0,0,2,0,1,1,0,0
408,22951A6217,0,0,0,0,0,0,0,0
409,23955A6613,0,0,0,0,0,0,0,0
410,22951A05R5,0,0,0,0,0,0,0,0
411,22951A1266,0,0,0,0,0,0,0,0
412,22951A0563,0,0,0,0,0,0,0,0
413,22951A0502,0,0,0,0,0,0,0,0
414,22951A05A4,1,0,0,1,0,0,0,0
415,22951A3307,1,0,0,0,1,0,0,0
416,22951A67D5,0,1,0,0,2,2,0,0
417,22951A67A4,0,0,1,0,0,0,0,0
418,22951A04A6,0,0,0,1,0,1,0,0
419,22951A6675,0,0,0,0,0,0,0,0
420,22951A66A9,0,0,0,0,0,0,0,0
421,22951A67G0,0,1,0,0,0,0,0,0
422,22951A04F7,0,1,0,0,0,0,0,0
423,22951A67A3,0,0,0,0,1,0,0,0
424,22951A6730,0,0,0,0,1,0,0,0
425,22951A05C9,0,1,0,0,0,0,0,0
426,22951A05A5,2,0,0,0,1,0,0,0
427,22951A3338,0,2,0,1,0,2,0,0
428,22951A05B0,0,1,0,1,0,2,0,0
429,22951A6293,0,0,0,2,0,0,0,0
430,22951A0207,1,1,0,0,1,1,0,0
431,22951A67H9,0,0,0,0,2,1,1,1
432,22951A6757,0,0,0,0,0,0,0,0
433,22951A6789,1,0,0,0,0,0,0,0
434,22951A6210,0,1,1,0,0,2,0,0
435,22951A0480,0,0,0,0,1,0,0,0
436,23955A3313,0,0,0,0,0,0,0,0
437,22951A6273,0,1,0,1,0,0,0,0
438,22951A6797,1,0,0,0,1,0,0,0
439,22951A6638,0,0,0,0,0,0,0,0
440,22951A0578,2,2,1,0,0,1,0,0
441,22951A6262,0,0,0,0,0,0,0,0
442,22951A3393,0,0,0,1,0,0,0,0
443,22951A6746,1,1,0,0,0,0,0,0
444,22951A0402,0,0,0,1,0,0,0,0
445,22951A0442,0,0,0,1,1,1,1,1
446,22951A6715,0,0,1,0,0,0,0,0
447,23955A3304,0,0,0,0,0,0,0,0
448,22951A66H1,0,0,0,0,0,0,0,0
449,22951A0509,0,1,1,0,0,3,0,0
450,22951A12B4,1,1,0,0,0,0,0,0
451,22951A6784,0,1,0,0,1,0,0,0
452,22951A6752,1,0,1,0,0,1,0,0
453,22951A0205,0,0,0,0,0,0,0,0
454,22951A3386,0,0,0,1,0,5,0,0
455,22951A04M2,1,0,0,0,1,0,0,0
456,22951A6745,0,0,0,0,0,0,0,0
457,22951A04L0,0,0,0,0,1,0,0,0
458,22951A0525,1,1,0,1,1,1,0,0
459,22951A04N4,0,0,0,0,0,0,0,0
460,22951A04C1,0,1,0,0,1,2,0,0
461,22951A3356,1,0,0,0,0,0,0,0
462,22951A62A8,0,0,0,1,1,0,0,0
463,23955A0425,0,0,0,0,0,0,0,0
464,23955A6607,0,0,0,0,0,0,0,0
465,23955A0408,0,1,0,0,1,1,0,0
466,22951A3301,0,1,1,0,0,0,0,0
467,22951A3363,1,0,0,1,2,0,0,0
468,22951A05N6,0,1,2,0,1,2,0,0
469,22951A05M6,0,0,0,0,1,0,0,0
470,22951A66C7,0,0,0,0,0,0,0,0
471,22951A6684,0,0,1,1,0,1,0,0
472,22951A0417,0,0,0,0,0,0,0,0
473,23955A0512,0,0,0,0,0,0,0,0
474,22951A6681,0,0,0,0,0,0,0,0
475,22951A66E8,0,1,0,0,0,0,0,0
476,22951A6685,0,0,0,0,0,0,0,0
477,22951A05K7,1,1,0,3,0,2,0,0
478,23955A0525,0,0,0,0,0,0,0,0
479,22951A6764,0,0,0,0,0,0,0,0
480,23955A1205,0,0,0,0,0,0,0,0
481,22951A0419,0,0,0,0,0,0,0,0
482,23955A6612,0,0,0,0,0,0,0,0
483,22951A0481,0,0,0,0,0,0,0,0
484,22951A0493,0,0,0,0,1,2,0,0
485,22951A66F5,1,2,1,0,0,1,0,0
486,22951A0209,0,1,0,0,1,1,0,0
487,22951A6679,0,0,0,0,0,0,0,0
488,22951A0595,1,1,0,1,1,0,0,0
489,22951A04K6,0,1,0,0,1,2,0,0
490,22951A3347,0,0,1,0,1,0,0,0
491,22951A3316,0,0,1,0,1,0,0,0
492,22951A0524,0,0,0,0,0,0,0,0
493,24951A05F5,0,1,0,0,0,0,0,0
494,24951A0215,0,1,0,0,0,0,0,0
495,24951A0230,0,0,1,0,0,0,0,0
496,22951A33A8,0,0,0,0,0,0,0,0
497,22951A12B3,0,1,0,0,0,2,0,0
498,23955A1208,0,0,0,0,0,0,0,0
499,23955A6210,0,0,1,0,1,1,0,0
500,22951A05E5,0,0,0,0,0,0,0,0
501,22951A0491,0,0,0,0,0,0,0,0
502,22951A66E4,1,1,0,1,0,1,0,0
503,22951A66G3,0,0,1,0,1,1,0,0
504,22951A6666,0,0,0,1,0,0,0,0
505,22951A3303,0,0,0,1,0,0,0,0
506,22951A3324,0,0,0,0,0,0,0,0
507,22951A0218,0,0,0,0,0,0,0,0
508,22951A3333,0,0,0,0,0,0,0,0
509,22951A0437,0,0,0,0,0,0,0,0
510,22951A0444,0,0,0,1,0,0,0,0
511,22951A1250,0,0,0,0,0,2,0,0
512,22951A0570,0,0,0,0,0,0,0,0
513,22951A0441,0,0,0,0,1,1,0,0
514,22951A0443,0,0,0,0,0,0,0,0
515,22951A6759,0,1,0,1,1,1,0,0
516,22951A0531,0,0,0,0,0,0,0,0
517,22951A6662,0,0,0,0,0,0,0,0
518,22951A0458,1,0,0,0,1,1,0,0
519,22951A0550,0,1,0,0,0,0,0,0
520,22951A0521,0,2,0,1,0,0,0,0
521,23955A1210,2,1,0,0,0,3,0,0
522,22951A6277,0,0,2,0,0,1,0,0
523,22951A67C1,0,0,0,0,1,0,0,0
524,22951A67A1,0,0,1,1,1,4,0,0
525,22951A1209,0,0,0,1,0,1,0,0
526,22951A6227,0,1,1,0,0,1,0,0
527,22951A1240,0,0,0,0,0,2,0,0
528,22951A1215,1,1,2,0,0,3,0,0
529,23955A6207,0,0,0,0,0,0,0,0
530,22951A6738,0,1,1,0,0,0,0,0
531,22951A6758,0,0,0,0,0,0,0,0
532,22951A0445,0,0,0,0,0,0,0,0
533,22951A6733,1,0,0,0,0,0,0,0
534,22951A1242,0,0,0,0,0,0,0,0
535,22951A3317,2,0,1,1,0,1,0,0
536,22951A67C9,0,0,0,0,0,0,0,0
537,22951A67F6,0,0,0,0,0,0,0,0
538,22951A6737,1,0,1,0,0,0,0,0
539,23955A6719,0,1,0,0,0,0,0,0
540,22951A05A9,0,1,0,1,0,1,0,0
541,22951A6718,0,0,1,0,2,0,0,0
542,22951A67J7,0,1,0,3,0,1,0,0
543,22951A67E2,0,0,0,0,0,0,0,0
544,22951A6765,0,0,0,1,0,0,0,0
545,24951A05EM,0,0,0,0,1,0,0,0
546,22951A0450,0,0,0,1,0,1,0,0
547,23955A0414,0,0,0,0,0,0,0,0
548,23955A6710,0,0,0,0,0,0,0,0
549,22951A6652,0,0,0,0,1,0,0,0
550,22951A6701,0,0,0,0,0,0,0,0
551,22951A3360,0,0,0,1,0,0,1,0
552,22951A0462,0,0,0,0,0,0,0,0
553,22951A0426,0,0,0,0,0,0,0,0
554,22951A0567,0,0,0,0,0,0,0,0
555,22951A3345,0,0,0,0,0,0,0,0
556,23955A0405,0,0,0,0,1,0,0,0
557,22951A6615,0,0,2,0,0,0,0,0
558,22951A0542,0,0,0,0,0,0,0,0
559,22951A6201,0,0,0,0,0,0,0,0
560,22951A0410,0,2,0,0,0,0,0,0
561,22951A66H5,2,1,0,0,0,0,0,0
562,22951A04L8,0,0,0,0,1,0,0,0
563,22951A0304,0,0,1,0,0,0,0,0
564,22951A0572,2,0,1,1,0,0,0,0
